"C-gbcode","C-source","N-pinyin","N-local","N-hanzi","H","A","change","P","fromdate","todate","NOTES"
130731,"GB","Zhuolu","Zhuolu","涿鹿",3,5,"CH",0,19930619,19941231,
130732,"GB","Chicheng","Chicheng","赤城",3,5,"CH",0,19930619,19941231,
130733,"GB","Chongli","Chongli","崇禮",3,5,"CH",0,19930619,19941231,
130800,"GB","Chengde shi","Chengde shi","承德市",0,0,"CHAT",3,19831115,19930618,
130800,"GB","Chengde shi","Chengde shi","承德市",0,0,"T",3,19930619,19941231,
130801,"GB","Chengde shixiaqu","Chengde shixiaqu","承德市轄區",3,1,,0,19831115,19941231,
130802,"GB","Chengde: Shuangqiao qu","Chengde: Shuangqiao qu","承德﹕雙橋區",3,2,,0,19831115,19941231,
130803,"GB","Chengde: Shuangluan qu","Chengde: Shuangluan qu","承德﹕雙灤區",3,2,,0,19831115,19941231,
130804,"GB","Chengde: Yingshouyingzi Kuangqu","Chengde: Yingshouyingzi Kuangqu","承德﹕鷹手營子礦區",3,2,,0,19831115,19941231,
130821,"GB","Chengde","Chengde","承德",3,5,"CH",0,19831115,19941231,
130822,"GB","Xinglong","Xinglong","興隆",3,5,"CH",0,19930619,19941231,
130823,"GB","Pingquan","Pingquan","平泉",3,5,"CH",0,19930619,19941231,
130824,"GB","Luanping","Luanping","灤平",3,5,"CH",0,19930619,19941231,
130825,"GB","Longhua","Longhua","隆化",3,5,"CH",0,19930619,19941231,
130826,"GB","Fengning Manzu zizhixian","Fengning Manzu zizhixian","豐寧滿族自治縣",3,6,"CH",0,19930619,19941231,
130827,"GB","Kuancheng Manzu zizhixian","Kuancheng Manzu zizhixian","寬城滿族自治縣",3,6,"CH",0,19930619,19941231,
130828,"GB","Weichang Manzu Mengguzu zizhixian","Weichang Manzu Mengguzu zizhixian","圍場滿族蒙古族自治縣",3,6,"CH",0,19930619,19941231,
130900,"GB","Cangzhou shi","Cangzhou shi","滄州市",0,0,"T",3,19860405,19930618,
130900,"GB","Cangzhou shi","Cangzhou shi","滄州市",0,0,"CHAT",3,19831115,19860404,
130900,"GB","Cangzhou shi","Cangzhou shi","滄州市",0,0,"T",3,19930619,19941231,
130901,"GB","Cangzhou shixiaqu","Cangzhou shixiaqu","滄州市轄區",3,1,,0,19831115,19941231,
130902,"GB","Cangzhou: Xinhua qu","Cangzhou: Xinhua qu","滄州﹕新華區",3,2,,0,19831115,19941231,
130903,"GB","Cangzhou: Yunhe qu","Cangzhou: Yunhe qu","滄州﹕運河區",3,2,,0,19831115,19941231,
130904,"GB","Cangzhou: Jiaoqu","Cangzhou: Jiaoqu","滄州﹕郊區",3,2,,0,19831115,19941231,
130921,"GB","Cang xian","Cang xian","滄縣",3,5,"CH",0,19831115,19941231,
130922,"GB","Qing xian","Qing xian","青縣",3,5,"CH",0,19860405,19941231,
130923,"GB","Dongguang","Dongguang","東光",3,5,"CH",0,19930619,19941231,
130924,"GB","Haixing","Haixing","海興",3,5,"CH",0,19930619,19941231,
130925,"GB","Yanshan","Yanshan","鹽山",3,5,"CH",0,19930619,19941231,
130926,"GB","Suning","Suning","肅寧",3,5,"CH",0,19930619,19941231,
130927,"GB","Nanpi","Nanpi","南皮",3,5,"CH",0,19930619,19941231,
130928,"GB","Wuqiao","Wuqiao","吳橋",3,5,"CH",0,19930619,19941231,
130929,"GB","Xian xian","Xian xian","獻縣",3,5,"CH",0,19930619,19941231,
130930,"GB","Mengcun Hui zizhixian","Mengcun Hui zizhixian","孟村回族自治縣",3,6,"CH",0,19930619,19941231,
130981,"GB","Potou shi","Potou shi","泊頭市",9,3,"CH",0,19930619,19941231,
130982,"GB","Renqiu shi","Renqiu shi","任丘市",9,3,"CH",0,19930619,19941231,
