140501,晉城市轄區,Jincheng shixiaqu,Jincheng shixiaqu,3,,
140502,晉城﹕城區,Jincheng: Chengqu,Jincheng: Chengqu,3,,
140521,沁水,Qinshui,Qinshui,3,,
140522,陽城,Yangcheng,Yangcheng,3,,
140524,陵川,Lingchuan,Lingchuan,3,,
140525,泽州县,,,3,35.019032,110.99762
140581,高平市,Gaoping shi,Gaoping shi,3,35.7979925,112.9239392
140600,朔州市,Shuozhou shi,Shuozhou shi,2,39.4151262,112.3714364
140601,朔州市轄區,Shuozhou shixiaqu,Shuozhou shixiaqu,3,,
140602,朔州﹕朔城區,Shuozhou: Shuocheng qu,Shuozhou: Shuocheng qu,3,,
140603,朔州﹕平魯區,Shuozhou: Pinglu qu,Shuozhou: Pinglu qu,3,,
140621,山陰,Shanyin,Shanyin,3,,
140622,應縣,Ying xian,Ying xian,3,,
140623,右玉,Youyu,Youyu,3,,
140624,懷仁,Huairen,Huairen,3,,
140700,晋中市,,,2,37.6872081,112.7526319
140701,市辖区,City area,,3,,
140702,榆次区,,,3,37.6978033,112.7078819
140721,榆社县,,,3,37.0707844,112.9752874
140722,左权县,,,3,37.0826825,113.3793676
140723,和顺县,,,3,37.3289798,113.5700083
140724,昔阳县,,,3,37.6001137,113.7048376
140725,寿阳县,,,3,37.8889442,113.1749725
140726,太谷县,,,3,37.4294273,112.5576782
140727,祁县,,,3,37.3803798,112.4744546
140728,平遥县,,,3,37.2006035,112.2065020
140729,灵石县,,,3,36.8477491,111.7786574
140781,介休市,,,3,37.0269508,111.9168341
140800,运城市,,,2,35.0263679,111.0073185
140801,市辖区,City area,,3,,
140802,盐湖区,,,3,35.019032,110.99762
140821,临猗县,,,3,35.1433801,110.7746100
140822,万荣县,,,3,35.4156002,110.8380067
140823,闻喜县,,,3,35.3565937,111.2246633
140824,稷山县,,,3,35.6040241,110.9833717
140825,新绛县,,,3,35.6162443,111.2246633
140826,绛县,,,3,35.4918090,111.5718806
140827,垣曲县,,,3,35.2973777,111.6700494
140828,夏县,,,3,35.1416780,111.2206936
140829,平陆县,,,3,34.8368695,111.2173462
140830,芮城县,,,3,34.6935766,110.6943691
140881,永济市,,,3,34.8670511,110.4475522
140882,河津市,,,3,35.5959896,110.7123077
140900,忻州市,,,2,38.4163672,112.7342641
140901,市辖区,City area,,3,,
140902,忻府区,,,3,38.4041519,112.7460337
140921,定襄县,,,3,38.4737672,112.9571879
140922,五台县,,,3,38.7989569,113.4321642
140923,代县,,,3,39.0668973,112.9602563
140924,繁峙县,,,3,39.1888094,113.2655668
140925,宁武县,,,3,39.0015517,112.3047674
140926,静乐县,,,3,38.3594431,111.9395471
140927,神池县,,,3,39.0905588,112.2112978
140928,五寨县,,,3,38.9110967,111.8468285
140929,岢岚县,,,3,38.7041831,111.5729105
140930,河曲县,,,3,39.3850814,111.1386073
140931,保德县,,,3,39.0224845,111.0865617
140932,偏关县,,,3,39.4364333,111.5034842
140981,原平市,,,3,38.7308533,112.7109718
141000,临汾市,,,2,36.0877426,111.5188479
141001,市辖区,,,3,,
141002,尧都区,,,3,36.0835635,111.5150714
141021,曲沃县,,,3,35.6410890,111.4758575
141022,翼城县,,,3,35.7381612,111.7189515
141023,襄汾县,,,3,35.8763240,111.4417398
141024,洪洞县,,,3,36.2537561,111.6749096
141025,古县,,,3,36.268497,111.919785&
141026,安泽县,,,3,36.1478297,112.2502327
141027,浮山县,,,3,35.9681078,111.8489099
141028,吉县,,,3,36.0981894,110.6817627
141029,乡宁县,,,3,35.9704783,110.8472013
141030,大宁县,,,3,36.4650577,110.7527769
141031,隰县,,,3,36.6933541,110.9406602
141032,永和县,,,3,36.7598082,110.6317878
141033,蒲县,,,3,36.4118199,111.0965180
141034,汾西县,,,3,36.6528497,111.5639520
141081,侯马市,,,3,35.6191137,111.3717556
141082,霍州市,,,3,36.5701055,111.7288756
141100,吕梁市,,,2,37.5176999,111.1505914
141101,市辖区,City area,,3,,
141102,离石区,,,3,37.5176999,111.1505914
141121,文水县,,,3,37.4372225,112.0272875
141122,交城县,,,3,37.5519607,112.1559262
141123,兴县,,,3,38.4624185,111.1276209
141124,临县,,,3,37.9507544,110.9920943
141125,柳林县,,,3,37.4299726,110.8889687
141126,石楼县,,,3,36.9984913,110.8345091
141127,岚县,,,3,38.2794518,111.6718411
141128,方山县,,,3,37.8946509,111.2441146
141129,中阳县,,,3,37.3571190,111.1795807
141130,交口县,,,3,36.9822178,111.1813509
141181,孝义市,,,3,37.1464039,111.7789900
